Ticks,Correlation,sharp_ration,mean,std,__
002455.OF,0.649304292,2.692833893,0.000356535,0.002101807,__
002728.OF,0.564777511,2.56725561,0.00040972,0.002533484,__ __
519228.OF,0.499289196,2.378278342,0.000370785,0.00247491,__ __
003966.OF,0.789083805,2.358559948,0.000384226,0.002586066,__ __
004609.OF,0.673921768,2.341834242,0.000402029,0.002725219,__ __
002462.OF,0.756141701,2.208506804,0.000309778,0.002226651,__ __
002770.OF,0.692468655,1.941018206,0.000835165,0.006830347,__
002430.OF,0.78094741,1.920844716,0.000358957,0.002966539,__ __
002771.OF,0.691726009,1.920078371,0.000825898,0.006828227,__
003889.OF,0.826323042,1.820467967,0.001255243,0.010945734,___
004175.OF,0.839387856,1.426405178,0.000435495,0.004846637,__ 
673071.OF,0.490590705,1.422327053,0.000557574,0.006223048,__ 
004176.OF,0.84138394,1.39366007,0.000425024,0.004841244,___
001657.OF,0.798046743,1.348344263,0.000906496,0.010672483,_____
003059.OF,0.280460241,1.314205208,0.000453004,0.005471916,__
004423.OF,0.78088582,1.312120569,0.000886665,0.010727198,__
003025.OF,0.771383121,1.245396517,0.000548423,0.0069905,__
519772.OF,0.757014905,1.230963092,0.00102491,0.013217241,__
002327.OF,0.663372646,1.228509831,0.000565751,0.007310498,__
000215.OF,0.410308983,1.227355828,0.000423981,0.005483736,____________
002620.OF,0.839864388,1.157494246,0.001047061,0.014359971,__
000165.OF,0.803866231,1.153542792,0.000707697,0.009738984,______
000126.OF,0.566365345,1.106742409,0.000462222,0.006629857,____
004966.OF,0.833308066,1.092828022,0.000635811,0.00923584,____
002160.OF,0.844819711,1.029148681,0.00073377,0.011318328,___ 